name;grande_comando;estado;pais;
PASJ;DCTA;SP;BRASIL;
DTCEA-CG;DECEA;MS;BRASIL;
DTCEA-CR;DECEA;MS;BRASIL;
DTCEA-GW;DECEA;SP;BRASIL;
DTCEA-JGI;DECEA;MS;BRASIL;
DTCEA-MT;DECEA;SP;BRASIL;
DTCEA-SJ;DECEA;SP;BRASIL;
DTCEA-SP;DECEA;SP;BRASIL;
DTCEA-SRO;DECEA;SP;BRASIL;
DTCEA-ST;DECEA;SP;BRASIL;
DTCEA-TNB;DECEA;SP;BRASIL;
DTCEA-YS;DECEA;SP;BRASIL;
ICEA;DECEA;SP;BRASIL;
SRPV SP;DECEA;SP;BRASIL;
CCAFA;DEPENS;SP;BRASIL;
2 CJM;GABAER;SP;BRASIL;
9 CJM;GABAER;MS;BRASIL;
EDA;GABAER;SP;BRASIL;
GSI ER-SP;GABAER;SP;BRASIL;
BAST;SEFA;SP;BRASIL;
FAYS;SEFA;SP;BRASIL;
GAP CG;SEFA;MS;BRASIL;
GAP GW;SEFA;SP;BRASIL;
GAP SP;SEFA;SP;BRASIL;
GAP YS;SEFA;SP;BRASIL;
PACG;SEFA;MS;BRASIL;
PAGW;SEFA;SP;BRASIL;
PASP;SEFA;SP;BRASIL;
PAYS;SEFA;SP;BRASIL;
SASDAB-DIRAD;SEFA;SP;BRASIL;
1VF/GUARA;-;SP;BRASIL;
1VF/SAO CARLOS;-;SP;BRASIL;
1VF/SJC;-;SP;BRASIL;
3VF/SJC;-;SP;BRASIL;
14VF/SP;-;SP;BRASIL;
16VF/SP;-;SP;BRASIL;
ASPR SP;-;SP;BRASIL;
GAC-SAAB;-;-;SUêCIA;
INPE;-;SP;BRASIL;
TRF3REGIAO/SP;-;SP;BRASIL;
CCA RJ;COMGAP SP;RJ;BRASIL;
CAE;SEFA;RJ;BRASIL;
SERIPA V;CENIPA;RS;BRASIL;
DT-INFRA CO;COMGAP SP;RS;BRASIL;
3RM-SMR;COMGEP;RS;BRASIL;
ES-CT;COMGEP;PR;BRASIL;
ES-FL;COMGEP;SC;BRASIL;
ES-SM;COMGEP;RS;BRASIL;
HACO;COMGEP;RS;BRASIL;
SEREP-CO;COMGEP;RS;BRASIL;
1 GDAAE;COMPREP;RS;BRASIL;
1/10 GAV;COMPREP;RS;BRASIL;
1/12 GAV;COMPREP;RS;BRASIL;
1/14 GAV;COMPREP;RS;BRASIL;
2/7 GAV;COMPREP;RS;BRASIL;
3/10 GAV;COMPREP;RS;BRASIL;
5 ETA;COMPREP;RS;BRASIL;
5/8 GAV;COMPREP;RS;BRASIL;
ALA 3;COMPREP;RS;BRASIL;
ALA 4;COMPREP;RS;BRASIL;
BACO;COMPREP;RS;BRASIL;
BASM;COMPREP;RS;BRASIL;
BINFAE CO;COMPREP;RS;BRASIL;
CMPA;COMPREP;RS;BRASIL;
CMSM;COMPREP;RS;BRASIL;
GSD-CO;COMPREP;RS;BRASIL;
V COMAR;COMPREP;RS;BRASIL;
GAC PAC-SCP_SIS;DCTA;RS;BRASIL;
2/1 GCC;DECEA;RS;BRASIL;
4/1 GCC;DECEA;RS;BRASIL;
CINDACTA II;DECEA;PR;BRASIL;
DTCEA-BI;DECEA;PR;BRASIL;
DTCEA-CGU;DECEA;RS;BRASIL;
DTCEA-CO;DECEA;RS;BRASIL;
DTCEA-CT;DECEA;PR;BRASIL;
DTCEA-CTD;DECEA;PR;BRASIL;
DTCEA-FI;DECEA;PR;BRASIL;
DTCEA-FL;DECEA;SC;BRASIL;
DTCEA-MDI;DECEA;SC;BRASIL;
DTCEA-PA;DECEA;RS;BRASIL;
DTCEA-SM;DECEA;RS;BRASIL;
DTCEA-STI;DECEA;RS;BRASIL;
DTCEA-UG;DECEA;RS;BRASIL;
1¶AUD/3¶CJM/RS;EMAER;RS;BRASIL;
3 CJM;GABAER;RS;BRASIL;
5 CJM;GABAER;PR;BRASIL;
BAFL;SEFA;SC;BRASIL;
GAP CO;SEFA;RS;BRASIL;
GAP CT;SEFA;PR;BRASIL;
GAP SM;SEFA;RS;BRASIL;
PACO;SEFA;RS;BRASIL;
PACT;SEFA;PR;BRASIL;
PASM;SEFA;RS;BRASIL;
1VF/CANOAS;-;RS;BRASIL;
1VF/PR;-;PR;BRASIL;
1VF/SANTA MARIA;-;RS;BRASIL;
3VF/SM;-;RS;BRASIL;
9VF/PR;-;PR;BRASIL;
9VF/RS;-;RS;BRASIL;
AUD/5¶CJM/BL;-;SC;BRASIL;
CMCR;-;PR;BRASIL;
ASPAER;ASPAER;DF;BRASIL;
CECOMSAER;CECOMSAER;DF;BRASIL;
CENCIAR;CENCIAR;DF;BRASIL;
CENIPA;CENIPA;DF;BRASIL;
SERIPA VI;CENIPA;DF;BRASIL;
CIAER;CIAER;DF;BRASIL;
COMAE;COMAE;DF;BRASIL;
COPE-P;COMAE;DF;BRASIL;
