name;grande_comando;estado;pais;
8VF/RS;-;RS;BRASIL;
8VF/SP;-;SP;BRASIL;
8VFC;-;RJ;BRASIL;
9 VCPA;-;PA;BRASIL;
9 VF/DF;-;DF;BRASIL;
9/VF SJAM;-;AM;BRASIL;
9¶VF/PE;-;PE;BRASIL;
9VF/AL;-;AL;BRASIL;
9VF/BA;-;BA;BRASIL;
9VF/DF;-;DF;BRASIL;
9VF/GO;-;GO;BRASIL;
9VF/PE;-;PE;BRASIL;
9VF/RJ;-;RJ;BRASIL;
9VF/SP;-;SP;BRASIL;
10 DP;-;RN;BRASIL;
10 JEC/RJ;-;RJ;BRASIL;
10 JECRIM;-;CE;BRASIL;
10 JECRIM/CE;-;CE;BRASIL;
10 VC;-;AM;BRASIL;
10 VCSP;-;SP;BRASIL;
10¶ VC;-;RN;BRASIL;
10¶ VCB;-;PA;BRASIL;
10¶ VCB/CE;-;CE;BRASIL;
10¶JECRIM;-;MG;BRASIL;
10DP;-;RJ;BRASIL;
10ß VC/RS;-;RS;BRASIL;
10VF/BA;-;BA;BRASIL;
10VF/MG;-;MG;BRASIL;
10VF/RN;-;RN;BRASIL;
10VF/RS;-;RS;BRASIL;
10VF/SP;-;SP;BRASIL;
11 CJM RO;-;RO;BRASIL;
11 CJM/DF;-;DF;BRASIL;
11 VC PE;-;PE;BRASIL;
11/VC/FCCRM/CRT;-;PR;BRASIL;
11¶ CJM;-;GO;BRASIL;
11¶ VC/AM;-;AM;BRASIL;
11¶ VC/RJ;-;RJ;BRASIL;
11VARA JEF;-;PA;BRASIL;
11VF/BA;-;BA;BRASIL;
11VF/CE;-;CE;BRASIL;
11VF/MG;-;MG;BRASIL;
11VF/PR;-;PR;BRASIL;
11VF/RJ;-;RJ;BRASIL;
11VF/RS;-;RS;BRASIL;
11VF/SP;-;SP;BRASIL;
12 VFED;-;BR;BRASIL;
12¶ CJM;-;AM;BRASIL;
12¶ CJM/RO;-;RO;BRASIL;
12¶ DPDF;-;DF;BRASIL;
12¶ DT/SV;-;BA;BRASIL;
12VF/BA;-;BA;BRASIL;
12VF/DF;-;DF;BRASIL;
12VF/MG;-;MG;BRASIL;
12VF/RS;-;RS;BRASIL;
12VF/SP;-;SP;BRASIL;
12VJEF;-;PA;BRASIL;
13 DP;-;SP;BRASIL;
13 DP SP;-;SP;BRASIL;
13 JEC/CE;-;CE;BRASIL;
13 VF/DF;-;DF;BRASIL;
13¶ JECRIM/AM;-;AM;BRASIL;
13¶ VC/FZ;-;CE;BRASIL;
13¶ VJEC/AM;-;AM;BRASIL;
13VF/AL;-;AL;BRASIL;
13VF/BA;-;BA;BRASIL;
13VF/DF;-;DF;BRASIL;
13VF/MA;-;MA;BRASIL;
13VF/MG;-;MG;BRASIL;
13VF/PE;-;PE;BRASIL;
13VF/SP;-;SP;BRASIL;
14 DP;-;AM;BRASIL;
14 VC;-;CE;BRASIL;
14 VF/DF;-;DF;BRASIL;
14 VF/MG;-;MG;BRASIL;
14¶ CDC;-;SP;BRASIL;
14¶ DP/DF;-;DF;BRASIL;
14¶ DPG/DF;-;DF;BRASIL;
14¶ VC/FCCBF;-;SP;BRASIL;
14¶ VF;-;PR;BRASIL;
14VF/BA;-;BA;BRASIL;
14VF/CE;-;CE;BRASIL;
14VF/DF;-;DF;BRASIL;
14VF/MG;-;MG;BRASIL;
14VF/PE;-;PE;BRASIL;
14VF/RS;-;RS;BRASIL;
15 DP;-;PE;BRASIL;
15 DP DF;-;DF;BRASIL;
15 DP PE;-;PE;BRASIL;
15 VF/DF;-;DF;BRASIL;
15¶ VC;-;CE;BRASIL;
15JECRIM/AM;-;AM;BRASIL;
15JEF/BA;-;BA;BRASIL;
15VF/DF;-;DF;BRASIL;
15VF/MG;-;MG;BRASIL;
15VF/PE;-;PE;BRASIL;
15VF/SP;-;SP;BRASIL;
16 DP;-;RJ;BRASIL;
16ß JECRIM;-;RJ;BRASIL;
16VF/BA;-;BA;BRASIL;
16VF/DF;-;DF;BRASIL;
16VF/MG;-;MG;BRASIL;
17 VF/DF;-;DF;BRASIL;
17¶ DP;-;RJ;BRASIL;
17ß JECRIM;-;RJ;BRASIL;
17VF;-;SP;BRASIL;
17VF/DF;-;DF;BRASIL;
17VF/MG;-;MG;BRASIL;
17VF/PE;-;PE;BRASIL;
17VF/SP;-;SP;BRASIL;
18 VC;-;SP;BRASIL;
18¶ DP;-;DF;BRASIL;
18VF/MG;-;MG;BRASIL;
18VF/SP;-;SP;BRASIL;
19¶ SJSP/SP;-;SP;BRASIL;
19¶VF/PE;-;PE;BRASIL;
19ß DP-AM;-;AM;BRASIL;
19VF/MG;-;MG;BRASIL;
19VF/RJ;-;RJ;BRASIL;
19VF/SP;-;SP;BRASIL;
20 VF/DF;-;DF;BRASIL;
20VF/DF;-;DF;BRASIL;
20VF/MG;-;MG;BRASIL;
20VF/SP;-;SP;BRASIL;
21 DP/DF;-;DF;BRASIL;
21 VF/MG;-;MG;BRASIL;
21¶ DP/RJ;-;RJ;BRASIL;
21ß VF/CE;-;CE;BRASIL;
21VF/CE;-;CE;BRASIL;
21VF/DF;-;DF;BRASIL;
21VF/MG;-;MG;BRASIL;
21VF/PE;-;PE;BRASIL;
21VF/SP;-;SP;BRASIL;
22¶VF/RJ;-;RJ;BRASIL;
22VF/DF;-;DF;BRASIL;
22VF/MG;-;MG;BRASIL;
22VF/RJ;-;RJ;BRASIL;
22VF/SP;-;SP;BRASIL;
23 VC;-;RJ;BRASIL;
23¶ CP/DC;-;PE;BRASIL;
23¶ VC/RJ;-;RJ;BRASIL;
23¶JEF/BA;-;BA;BRASIL;
23VF/DF;-;DF;BRASIL;
23VF/SP;-;SP;BRASIL;
23VP/PA;-;PA;BRASIL;
24 DP;-;RJ;BRASIL;
24 DP MG;-;MG;BRASIL;
24 DRSP;-;MG;BRASIL;
24 JEF/DF;-;DF;BRASIL;
24VF/SP;-;SP;BRASIL;
25¶ JECRIM;-;CE;BRASIL;
25¶DP/RJ;-;RJ;BRASIL;
25¶VF/RJ;-;RJ;BRASIL;
25JEF;-;DF;BRASIL;
25VF/SP;-;SP;BRASIL;
26¶VF/POA;-;RS;BRASIL;
26VF/DF;-;DF;BRASIL;
26VF/SP;-;SP;BRASIL;
27VC/RJ;-;RJ;BRASIL;
27VF/DF;-;DF;BRASIL;
28 VC/RJ;-;RJ;BRASIL;
28JEF/MG;-;MG;BRASIL;
29 VF/RJ;-;RJ;BRASIL;
29VF;-;PE;BRASIL;
29VF/RJ;-;RJ;BRASIL;
30 DP;-;CE;BRASIL;
30JEF/MG;-;MG;BRASIL;
30VF/MG;-;MG;BRASIL;
30VF/PE;-;PE;BRASIL;
31 VCRJ;-;RJ;BRASIL;
31¶ DP/RJ;-;RJ;BRASIL;
31JEF/MG;-;MG;BRASIL;
32VF/RJ;-;RJ;BRASIL;
33V/JEF;-;MG;BRASIL;
34 DP;-;RJ;BRASIL;
34 DP RJ;-;RJ;BRASIL;
34 VC;-;RJ;BRASIL;
34ß DP/CE;-;CE;BRASIL;
35 DP;-;RJ;BRASIL;
35¶ VCRJ;-;RJ;BRASIL;
36¶/VCCCTJ/RJ;-;RJ;BRASIL;
37¶DP;-;RJ;BRASIL;
39 DP;-;RJ;BRASIL;
41 DP;-;RJ;BRASIL;
41 VC/RJ;-;RJ;BRASIL;
43¶ VC/RJ;-;RJ;BRASIL;
46¶ CJ/SJ;-;SP;BRASIL;
51 DP;-;RJ;BRASIL;
53 DP MESQUITA;-;RJ;BRASIL;
53ß DPPC/SP;-;SP;BRASIL;
56¶DP;-;RJ;BRASIL;
62¶ DP/RJ;-;RJ;BRASIL;
74¶ DP/RJ;-;RJ;BRASIL;
125DP;-;RJ;BRASIL;
125DP-SPA;-;RJ;BRASIL;
126¶DP/RJ;-;RJ;BRASIL;
ABAM;-;RJ;BRASIL;
ANAC;-;BR;BRASIL;
ASPR FL;-;SC;BRASIL;
AUD 8 CJM;-;MA;BRASIL;
AUD/ 2 CJM;-;RN;BRASIL;
AUD/ 2 CJM.;-;RN;BRASIL;
AUD/4¶CJM;-;DF;BRASIL;
AUD/5¶CJM;-;PR;BRASIL;
AUD/6CJM;-;BA;BRASIL;
AUD/7 CJM MS;-;MS;BRASIL;
AUD/7CJM;-;RN;BRASIL;
AUD/7CJM DF;-;DF;BRASIL;
AUD/7CJM RS;-;RS;BRASIL;
AUD/8 CJM;-;MA;BRASIL;
AUD/9 CJM;-;RN;BRASIL;
AUD/9 CJM MT;-;MT;BRASIL;
AUD/10CJM RJ;-;RJ;BRASIL;
AUD/11CJM;-;DF;BRASIL;
AUD/11CJM BR;-;BR;BRASIL;
AUD/11CJM DF;-;DF;BRASIL;
AUD/12 CJM;-;PA;BRASIL;
AUD/12CJM;-;RR;BRASIL;
BIBLIEX;-;RJ;BRASIL;
BRLIOFF;-;OUTROS;EXTERIOR;
CA-BR;-;OUTROS;EXTERIOR;
CA-RJ;-;OUTROS;EXTERIOR;
CCTAB;-;OUTROS;EXTERIOR;
CDCIBER;-;RJ;BRASIL;
CFSB;-;PA;BRASIL;
CJU/RS;-;SP;BRASIL;
CP/MG;-;MG;BRASIL;
CP/RJ;-;RJ;BRASIL;
CSSA NT;-;OUTROS;EXTERIOR;
CSSA RJ;-;OUTROS;EXTERIOR;
CSSA SP;-;OUTROS;EXTERIOR;
CT/BA;-;BA;BRASIL;
CURSO EXT;-;OUTROS;EXTERIOR;
DCF;-;RR;BRASIL;
DCPV/RO;-;RO;BRASIL;
DEACA;-;MS;BRASIL;
DEAM;-;DF;BRASIL;
DEAM-BV;-;RR;BRASIL;
DEAM/CE;-;CE;BRASIL;
DEAM/RN;-;RN;BRASIL;
DEAM/SP;-;SP;BRASIL;
DEAPTI;-;RJ;BRASIL;
DEAT;-;AM;BRASIL;
DECCM;-;AM;BRASIL;
DECON;-;GO;BRASIL;
DEL./TR∂NS;-;MG;BRASIL;
DIFLAG;-;RO;BRASIL;
DMA/SJP;-;PR;BRASIL;
DP;-;RS;BRASIL;
DPCA;-;DF;BRASIL;
DPCCG;-;RJ;BRASIL;
DPDML/SP;-;SP;BRASIL;
DPF/RJ;-;RJ;BRASIL;
DPFJF;-;MG;BRASIL;
DPFS/PE;-;PE;BRASIL;
DPJF/MG;-;MG;BRASIL;
DPPM;-;RS;BRASIL;
DPSECCIONAL;-;SP;BRASIL;
DRPCV;-;MG;BRASIL;
DTSM;-;RS;BRASIL;
ESEFEX;-;RJ;BRASIL;
ESSLOG;-;RJ;BRASIL;
FHE;-;DF;BRASIL;
I JECRIM;-;RJ;BRASIL;
II;-;RJ;BRASIL;
II JEC/RJ;-;RJ;BRASIL;
II JVD/CG-RJ;-;RJ;BRASIL;
III JECRIM;-;RJ;BRASIL;
ISAE;-;RJ;BRASIL;
IV JECRIM;-;PA;BRASIL;
IV JECRIM/PA;-;PA;BRASIL;
IV VC JF;-;PE;BRASIL;
IV VTJ;-;SP;BRASIL;
JCRIM/AM;-;AM;BRASIL;
JDCSPA;-;RJ;BRASIL;
JE/PE;-;PE;BRASIL;
JEC/SJP-PR;-;PR;BRASIL;
JECRIM;-;RJ;BRASIL;
JECRIM/DF;-;DF;BRASIL;
JECRIM/GUARµ;-;DF;BRASIL;
JECRIM/MACAê;-;RJ;BRASIL;
JECRIM/PR;-;PR;BRASIL;
JECRIM/RJ;-;RJ;BRASIL;
JECRIM/SC;-;SC;BRASIL;
JECRIM/SJC;-;SP;BRASIL;
JEF;-;SP;BRASIL;
JEF ADJ/SJDR;-;MG;BRASIL;
JEF/SAO CARLOS;-;SP;BRASIL;
JEF/SC;-;SC;BRASIL;
JEF/SP;-;SP;BRASIL;
JEFU/MG;-;MG;BRASIL;
JEVD;-;SC;BRASIL;
JF/TUBAR«O;-;SC;BRASIL;
JF4¶RG/CN;-;RS;BRASIL;
JVD;-;RS;BRASIL;
JVDCM;-;RN;BRASIL;
JVDCMPE;-;PE;BRASIL;
JVDFCM;-;DF;BRASIL;
JVDFCM/NT;-;RN;BRASIL;
JVDFCM/RN;-;RN;BRASIL;
JVDFCM/SG;-;RJ;BRASIL;
JVDFCMNI;-;RJ;BRASIL;
JVDFM/RO;-;RO;BRASIL;
OUTRAS;-;OUTROS;EXTERIOR;
PCRR;-;RR;BRASIL;
PF/CE;-;CE;BRASIL;
PJC/MT;-;MT;BRASIL;
PM/BA;-;BA;BRASIL;
SBFA;-;SP;BRASIL;
SPFC/PE;-;PE;BRASIL;
SR/DPF/PR;-;PR;BRASIL;
SSDCPC/PV;-;RO;BRASIL;
STF;-;DF;BRASIL;
STF/DF;-;DF;BRASIL;
STIMULU SENSE;-;BA;BRASIL;
STJ;-;DF;BRASIL;
STJ/DF;-;DF;BRASIL;
STM/BR;-;DF;BRASIL;
SUPC;-;PA;BRASIL;
TFR;-;DF;BRASIL;
TJ BE;-;PA;BRASIL;
TJ-RJ;-;RJ;BRASIL;
TJ/CE;-;CE;BRASIL;
TJ/MG;-;MG;BRASIL;
TJ/PR;-;PR;BRASIL;
TJ/RJ;-;RJ;BRASIL;
TJAM;-;AM;BRASIL;
TJAM/11VC;-;AM;BRASIL;
TJDFTDF;-;DF;BRASIL;
TJMG;-;MG;BRASIL;
TJMS;-;MS;BRASIL;
TJMT;-;MT;BRASIL;
TJRJ;-;RJ;BRASIL;
TJSP;-;SP;BRASIL;
TRF1REGIAO;-;DF;BRASIL;
TRF1REGIAO/AM;-;AM;BRASIL;
TRF4REGIAO/RS;-;RS;BRASIL;
TRF5REGIAO/PE;-;PE;BRASIL;
TRJ;-;RJ;BRASIL;
UNICA/SJDR;-;MG;BRASIL;
UNSC;-;MG;BRASIL;
V JECRIM;-;CE;BRASIL;
V. ÈNICA;-;GO;BRASIL;
VARA UNICA;-;BA;BRASIL;
VC;-;RS;BRASIL;
VC INDEF;-;BR;BRASIL;
VC JARAGUA;-;GO;BRASIL;
VC MADUREIRA;-;RJ;BRASIL;
VC PARNAMIRIM/RN;-;RN;BRASIL;
VCCAP;-;PE;BRASIL;
VCCCA;-;PA;BRASIL;
VCCT;-;AC;BRASIL;
VCIF;-;PR;BRASIL;
VCIJ/BA;-;BA;BRASIL;
VCPC/PA;-;PA;BRASIL;
VCSRR;-;RR;BRASIL;
VCTJ;-;DF;BRASIL;
VCTJAC;-;DF;BRASIL;
VDFCM;-;PE;BRASIL;
VDT/PV;-;RO;BRASIL;
VEC/MG;-;MG;BRASIL;
VEF-DF;-;DF;BRASIL;
VEMEPA;-;RR;BRASIL;
VEPA-PA;-;PA;BRASIL;
VEPAC/RF;-;PE;BRASIL;
VEPEMA;-;RO;BRASIL;
VEVDFCM;-;MA;BRASIL;
VF AMB;-;SC;BRASIL;
VF AMBIENTAL;-;PR;BRASIL;
VF C÷VEL E CRIMINAL;-;AC;BRASIL;
VFC DA SSJ;-;MG;BRASIL;
VFCC DA SSJ;-;BA;BRASIL;
VI JECRIM;-;PA;BRASIL;
VII JEC;-;RJ;BRASIL;
VIP;-;PR;BRASIL;
VPTJ;-;PE;BRASIL;
VPTJ/PE;-;PE;BRASIL;
VRSANTANA;-;SP;BRASIL;
VUAP;-;PA;BRASIL;
VUCBP/RJ;-;RJ;BRASIL;
VUCG;-;RN;BRASIL;
VUCI/CE;-;CE;BRASIL;
VUCQ;-;SP;BRASIL;
VUF/SL;-;MG;BRASIL;
VUGN;-;MT;BRASIL;
VUNICA;-;MT;BRASIL;
VUSMG;-;PA;BRASIL;
VUTCFZ/CE;-;CE;BRASIL;
X JECRIM;-;RJ;BRASIL;
XVI JECRIM;-;RJ;BRASIL;
XVI JERJ;-;RJ;BRASIL;
XVII JECRIM;-;RJ;BRASIL;
XVII JECRIM RJ;-;RJ;BRASIL;
XVIII;-;RJ;BRASIL;
XVIII JECRIM/RJ;-;RJ;BRASIL;
11;-;DF;BRASIL;
