id;name;grande_comando;estado;pais;
218;12VF/RJ;-;RJ;BRASIL;
219;14VF/RJ;-;RJ;BRASIL;
220;15VF/RJ;-;RJ;BRASIL;
221;16VF/RJ;-;RJ;BRASIL;
222;17VF/RJ;-;RJ;BRASIL;
223;18VF/RJ;-;RJ;BRASIL;
224;20VF/RJ;-;RJ;BRASIL;
225;21VF/RJ;-;RJ;BRASIL;
226;23VF/RJ;-;RJ;BRASIL;
227;24VF/RJ;-;RJ;BRASIL;
228;26VF/RJ;-;RJ;BRASIL;
229;27VF/RJ;-;RJ;BRASIL;
230;28CI/RJ;-;RJ;BRASIL;
231;28VF/RJ;-;RJ;BRASIL;
232;30VF/RJ;-;RJ;BRASIL;
233;AUD/1 CJM;-;RJ;BRASIL;
234;AUD/4 CJM MG;-;MG;BRASIL;
235;CMBH;-;MG;BRASIL;
236;CMJF;-;MG;BRASIL;
237;CTAER RJ;-;RJ;BRASIL;
238;CURSO BR;-;RJ;BRASIL;
239;ECEME;-;RJ;BRASIL;
240;EGN;-;RJ;BRASIL;
241;ESCESP EXER;-;RJ;BRASIL;
242;GOV-RJ;-;RJ;BRASIL;
243;NVA-1;-;RJ;BRASIL;
244;SDPP;-;RJ;BRASIL;
245;TRF2REGIAO/RJ;-;RJ;BRASIL;
246;SERIPA IV;CENIPA;SP;BRASIL;
247;BASP;COMGAP SP;SP;BRASIL;
248;CCA SJ;COMGAP SP;SP;BRASIL;
249;CECAT;COMGAP SP;SP;BRASIL;
250;CELOG;COMGAP SP;SP;BRASIL;
251;CEPE SP;COMGAP SP;SP;BRASIL;
252;COMF MMR;COMGAP SP;SP;BRASIL;
253;COMGAP SP;COMGAP SP;SP;BRASIL;
254;COMREC-EMBRAER;COMGAP SP;SP;BRASIL;
255;DIRINFRA SP;COMGAP SP;SP;BRASIL;
256;DIRMAB;COMGAP SP;SP;BRASIL;
257;DT-INFRA SP;COMGAP SP;SP;BRASIL;
258;DTI;COMGAP SP;SP;BRASIL;
259;GSD-SP;COMGAP SP;SP;BRASIL;
260;ILA;COMGAP SP;SP;BRASIL;
261;IV COMAR;COMGAP SP;SP;BRASIL;
262;PAMA SP;COMGAP SP;SP;BRASIL;
263;2ESQDASAU HFASP;COMGEP;SP;BRASIL;
264;AFA;COMGEP;SP;BRASIL;
265;EEAR;COMGEP;SP;BRASIL;
266;ES-CG;COMGEP;MS;BRASIL;
267;ES-GW;COMGEP;SP;BRASIL;
268;ES-SJ;COMGEP;SP;BRASIL;
269;ES-YS;COMGEP;SP;BRASIL;
270;HFASP;COMGEP;SP;BRASIL;
271;SEREP-SP;COMGEP;SP;BRASIL;
272;1/15 GAV;COMPREP;MS;BRASIL;
273;2/10 GAV;COMPREP;MS;BRASIL;
274;3/3 GAV;COMPREP;MS;BRASIL;
275;ALA 5;COMPREP;MS;BRASIL;
276;BACG;COMPREP;MS;BRASIL;
277;CMCG;COMPREP;MS;BRASIL;
278;EAS;COMPREP;MS;BRASIL;
279;IAOP;COMPREP;SP;BRASIL;
280;CO-DCTA;DCTA;SP;BRASIL;
281;CPORAER SJ;DCTA;SP;BRASIL;
282;DCTA;DCTA;SP;BRASIL;
283;GAC-EMBRAER;DCTA;SP;BRASIL;
284;GAC-HB;DCTA;MG;BRASIL;
285;GAC-MECTRON;DCTA;SP;BRASIL;
286;GAC-PAC;DCTA;SP;BRASIL;
287;GAP SJ;DCTA;SP;BRASIL;
288;GIA SJ;DCTA;SP;BRASIL;
289;GSD-SJ;DCTA;SP;BRASIL;
290;IAE;DCTA;SP;BRASIL;
291;IEAV;DCTA;SP;BRASIL;
292;IFI;DCTA;SP;BRASIL;
293;IPEV;DCTA;SP;BRASIL;
294;ITA;DCTA;SP;BRASIL;
295;PASJ;DCTA;SP;BRASIL;
296;DTCEA-CG;DECEA;MS;BRASIL;
297;DTCEA-CR;DECEA;MS;BRASIL;
298;DTCEA-GW;DECEA;SP;BRASIL;
299;DTCEA-JGI;DECEA;MS;BRASIL;
300;DTCEA-MT;DECEA;SP;BRASIL;
301;DTCEA-SJ;DECEA;SP;BRASIL;
302;DTCEA-SP;DECEA;SP;BRASIL;
303;DTCEA-SRO;DECEA;SP;BRASIL;
304;DTCEA-ST;DECEA;SP;BRASIL;
305;DTCEA-TNB;DECEA;SP;BRASIL;
306;DTCEA-YS;DECEA;SP;BRASIL;
307;ICEA;DECEA;SP;BRASIL;
308;SRPV SP;DECEA;SP;BRASIL;
309;CCAFA;DEPENS;SP;BRASIL;
310;2 CJM;GABAER;SP;BRASIL;
311;9 CJM;GABAER;MS;BRASIL;
312;EDA;GABAER;SP;BRASIL;
313;GSI ER-SP;GABAER;SP;BRASIL;
314;BAST;SEFA;SP;BRASIL;
315;FAYS;SEFA;SP;BRASIL;
316;GAP CG;SEFA;MS;BRASIL;
317;GAP GW;SEFA;SP;BRASIL;
318;GAP SP;SEFA;SP;BRASIL;
319;GAP YS;SEFA;SP;BRASIL;
320;PACG;SEFA;MS;BRASIL;
321;PAGW;SEFA;SP;BRASIL;
322;PASP;SEFA;SP;BRASIL;
323;PAYS;SEFA;SP;BRASIL;
324;SASDAB-DIRAD;SEFA;SP;BRASIL;
325;1VF/GUARA;-;SP;BRASIL;
326;1VF/SAO CARLOS;-;SP;BRASIL;
327;1VF/SJC;-;SP;BRASIL;
328;3VF/SJC;-;SP;BRASIL;
329;14VF/SP;-;SP;BRASIL;
330;16VF/SP;-;SP;BRASIL;
331;ASPR SP;-;SP;BRASIL;
332;GAC-SAAB;-;-;SUêCIA;
333;INPE;-;SP;BRASIL;
334;TRF3REGIAO/SP;-;SP;BRASIL;
335;CCA RJ;COMGAP SP;RJ;BRASIL;
336;CAE;SEFA;RJ;BRASIL;
337;SERIPA V;CENIPA;RS;BRASIL;
338;DT-INFRA CO;COMGAP SP;RS;BRASIL;
339;3RM-SMR;COMGEP;RS;BRASIL;
340;ES-CT;COMGEP;PR;BRASIL;
341;ES-FL;COMGEP;SC;BRASIL;
342;ES-SM;COMGEP;RS;BRASIL;
343;HACO;COMGEP;RS;BRASIL;
